name,lat,lon,pop,rank
Salem,11.672,78.178,873000,4
Basra,30.515,47.812,870000,4
Bandar Lampung,-5.428,105.268,865000,4
Kigali,-1.952,30.059,860000,4
Jullundur,31.337,75.567,855000,4
Shache,38.426,77.25,851374,4
Voronezh,51.665,39.187,844000,4
Saratov,51.582,46.028,843000,4
Warri,5.52,5.76,830106,4
Tucumán,-26.814,-65.219,830000,4
Kota,25.182,75.833,827000,4
Yueyang,29.382,113.098,826000,4
Tucson,32.207,-110.892,823000,4
Arequipa,-16.418,-71.532,815000,4
Rajshahi,24.377,88.603,810000,4
Culiacán,24.832,-107.382,809000,4
Cuiabá,-15.568,-56.087,806000,4
Aligarh,27.894,78.06,805000,4
Malang,-7.978,112.608,805000,4
Lviv,49.835,24.03,803880,4
Bordeaux,44.852,-0.597,803000,4
Jammu,32.714,74.845,791000,4
Moradabad,28.844,78.755,787000,4
Mangaluru,12.9,74.85,776632,4
Zamboanga,6.922,122.078,773000,4
Quetta,30.222,67.023,768000,4
Kananga,-5.888,22.398,765000,4
Kraków,50.062,19.958,756000,4
Rochester,43.172,-77.622,755000,4
El Paso,31.782,-106.512,753000,4
Taizz,13.606,44.037,751000,4
Kolhapur,16.7,74.22,750000,4
